model_file,model_consts,model_type,states,time_constr
"bluetooth.pm","mrec=1",DTMC,3411945339,11.972
"crowds.pm","TotalRuns=5,CrowdSize=20",DTMC,2061951,0.381
"crowds.pm","TotalRuns=6,CrowdSize=20",DTMC,10633591,0.443
"egl.pm","N=10,L=2",DTMC,66060286,0.505
"egl.pm","N=10,L=8",DTMC,317718526,3.051
"haddad-monmege.pm","N=100,p=0.7",DTMC,201,0.035
"herman15.pm","",DTMC,32768,0.022
"nand.pm","N=40,K=4",DTMC,3999522,3.638
"nand.pm","N=60,K=4",DTMC,18826082,12.725
"oscillators.8-10-0.1-1.prism","mu=0.1,lambda=1",DTMC,24311,69.438
