model_file,model_consts,model_type,states,time_constr
"coin4.nm","K=4",MDP,43136,0.058
"coin6.nm","K=2",MDP,1258240,0.113
"csma3_4.nm","",MDP,1460287,1.932
"csma4_2.nm","",MDP,761962,1.845
"eajs.5.prism","B=11,energy_capacity=250",MDP,3049471,0.639
"eajs.6.prism","B=13,energy_capacity=300",MDP,7901694,1.078
"pacman.nm","MAXSTEPS=100",MDP,79440921,1733.719
"pacman.nm","MAXSTEPS=60",MDP,38786521,1679.568
"pnueli-zuck.10.prism","",MDP,69994757110,1.252
"pnueli-zuck.5.prism","",MDP,397435,0.149
"rabin.10.prism","",MDP,358055586147376,71.54
"resource-gathering.pm","GOLD_TO_COLLECT=100,GEM_TO_COLLECT=100,B=1300",MDP,958894,0.582
"wlan4.nm","COL=0",MDP,345000,0.461
"wlan5.nm","COL=0",MDP,1295218,0.384
"wlan6.nm","COL=0",MDP,5007548,0.516
"zeroconf.nm","reset=false,N=1000,K=8",MDP,1870338,68.508
